epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.6684,1.41505,1.58009,1.27985,0.46859,0.21459,0.21321,0.1157,1.54478,1.46779,1.34489,0.00119527,0.000998028,0.000998028
2,191.575,1.27884,1.11205,1.2038,0.49513,0.23841,0.2374,0.12923,1.5473,1.27258,1.32829,0.0009802,0.0009802,0.0009802
3,283.591,1.20135,0.98987,1.1637,0.52956,0.24637,0.24846,0.13572,1.47884,1.20377,1.3112,0.0009604,0.0009604,0.0009604
4,374.846,1.14172,0.91695,1.13591,0.48046,0.26211,0.26702,0.15059,1.39956,1.13235,1.25582,0.0009406,0.0009406,0.0009406
5,467.46,1.09988,0.86578,1.1157,0.5064,0.26151,0.27081,0.15382,1.38326,1.1145,1.25787,0.0009208,0.0009208,0.0009208
6,558.762,1.06446,0.83086,1.09973,0.52954,0.26455,0.27886,0.15785,1.39354,1.06409,1.25088,0.000901,0.000901,0.000901
7,649.47,1.03505,0.79866,1.08499,0.5188,0.28404,0.29145,0.16648,1.37276,1.04553,1.23911,0.0008812,0.0008812,0.0008812
8,741.555,1.00844,0.77751,1.07635,0.53462,0.28689,0.29677,0.16984,1.32811,1.00273,1.20853,0.0008614,0.0008614,0.0008614
9,832.907,0.99195,0.75023,1.06498,0.47957,0.28871,0.29851,0.17248,1.30893,1.00547,1.20803,0.0008416,0.0008416,0.0008416
10,923.565,0.9749,0.74048,1.05851,0.57558,0.28324,0.30343,0.17739,1.28906,0.98425,1.19685,0.0008218,0.0008218,0.0008218
11,1014.5,0.95978,0.72295,1.05284,0.53358,0.29849,0.30595,0.17842,1.30303,0.98063,1.20775,0.000802,0.000802,0.000802
12,1106.32,0.94901,0.71156,1.04914,0.59225,0.29799,0.3134,0.18399,1.26664,0.93993,1.18366,0.0007822,0.0007822,0.0007822
